train_acc,test_acc
0.8654173764906303,0.8787878787878788
0.8620102214650767,0.9090909090909091
0.868824531516184,0.8484848484848485
0.8739352640545145,0.7878787878787878
0.858603066439523,0.9393939393939394
0.8637137989778535,0.8939393939393939
0.8673469387755102,0.8615384615384616
0.865874363327674,0.875
0.8675721561969439,0.859375
0.8760611205432938,0.78125
0.8654173764906303,0.8787878787878788
0.8603066439522998,0.9242424242424242
0.8705281090289608,0.8333333333333334
0.8637137989778535,0.8939393939393939
0.8603066439522998,0.9242424242424242
0.8739352640545145,0.803030303030303
0.8639455782312925,0.8923076923076924
0.8692699490662139,0.84375
0.8760611205432938,0.78125
0.8641765704584041,0.890625
0.868824531516184,0.8484848484848485
0.8620102214650767,0.9090909090909091
0.8637137989778535,0.8636363636363636
0.8603066439522998,0.9242424242424242
0.8671209540034072,0.8636363636363636
0.868824531516184,0.8484848484848485
0.8639455782312925,0.8923076923076924
0.865874363327674,0.875
0.8811544991511036,0.734375
0.865874363327674,0.875
0.8637137989778535,0.8939393939393939
0.8620102214650767,0.8787878787878788
0.8705281090289608,0.8333333333333334
0.8637137989778535,0.8939393939393939
0.8773424190800682,0.7727272727272727
0.8671209540034072,0.8636363636363636
0.8656462585034014,0.8769230769230769
0.8692699490662139,0.84375
0.865874363327674,0.875
0.8641765704584041,0.890625
0.868824531516184,0.8484848484848485
0.8739352640545145,0.803030303030303
0.8654173764906303,0.8787878787878788
0.8671209540034072,0.8636363636363636
0.8654173764906303,0.8787878787878788
0.8603066439522998,0.9242424242424242
0.8690476190476191,0.8461538461538461
0.8675721561969439,0.859375
0.8692699490662139,0.84375
0.8624787775891342,0.90625
0.8637137989778535,0.8939393939393939
0.8671209540034072,0.8636363636363636
0.8620102214650767,0.9090909090909091
0.8637137989778535,0.8939393939393939
0.8671209540034072,0.8636363636363636
0.868824531516184,0.8484848484848485
0.8605442176870748,0.9230769230769231
0.8709677419354839,0.828125
0.8726655348047538,0.8125
0.8709677419354839,0.828125
0.8739352640545145,0.803030303030303
0.868824531516184,0.8484848484848485
0.8637137989778535,0.8939393939393939
0.8671209540034072,0.8636363636363636
0.8671209540034072,0.8333333333333334
0.8654173764906303,0.8787878787878788
0.8690476190476191,0.8461538461538461
0.8692699490662139,0.84375
0.8641765704584041,0.890625
0.865874363327674,0.875
0.8705281090289608,0.8333333333333334
0.8654173764906303,0.8787878787878788
0.858603066439523,0.9393939393939394
0.868824531516184,0.8484848484848485
0.8756388415672913,0.7878787878787878
0.8603066439522998,0.9242424242424242
0.8639455782312925,0.8923076923076924
0.8675721561969439,0.859375
0.865874363327674,0.875
0.8709677419354839,0.828125
0.8654173764906303,0.8787878787878788
0.8671209540034072,0.8636363636363636
0.868824531516184,0.8484848484848485
0.8654173764906303,0.8787878787878788
0.8654173764906303,0.8787878787878788
0.8603066439522998,0.8939393939393939
0.8775510204081632,0.7692307692307693
0.8641765704584041,0.890625
0.8675721561969439,0.859375
0.865874363327674,0.875
0.8603066439522998,0.9242424242424242
0.8739352640545145,0.803030303030303
0.868824531516184,0.8484848484848485
0.8705281090289608,0.8333333333333334
0.8671209540034072,0.8636363636363636
0.8671209540034072,0.8636363636363636
0.8639455782312925,0.8923076923076924
0.8641765704584041,0.890625
0.865874363327674,0.875
0.865874363327674,0.875
