mean_acc,std_acc,mean_f1,std_f1,dataset,model,k,power
0.9733515847412912,0.010617561740088408,0.9732366111547283,0.010726334238160471,digits,weighted_knn,1,2
0.9789084708886909,0.00912159623377358,0.9789096683690339,0.009178634523571164,digits,weighted_knn,3,2
0.9788935724236605,0.00846652004891935,0.9788475791773006,0.008565410755400928,digits,weighted_knn,5,2
0.9766550745907873,0.008453090332330996,0.9766177206343614,0.00855360059616724,digits,weighted_knn,7,2
0.9761154859181497,0.00889825540518487,0.9761093438920122,0.008954105063694703,digits,weighted_knn,9,2
0.9766650376679029,0.010732534261913373,0.9766234503751589,0.010796078885402566,digits,weighted_knn,11,2
0.9750136172047806,0.01164133869878624,0.9750085100852959,0.011635720693928552,digits,weighted_knn,13,2
0.9744424724233364,0.011943860442093817,0.9744575337974775,0.011899755688947555,digits,weighted_knn,15,2
0.9494444444444445,0.04475240527365851,0.9653645511473655,0.03199264385010845,parkinsons,weighted_knn,1,2
0.9330701754385965,0.055593315883946545,0.954376703097504,0.03953279846500625,parkinsons,weighted_knn,3,2
0.9438888888888888,0.05214237394378804,0.9619883350695364,0.037443248757538516,parkinsons,weighted_knn,5,2
0.9333333333333333,0.0714056400580428,0.955345504411133,0.04896399672959427,parkinsons,weighted_knn,7,2
0.9488888888888889,0.0592025191322543,0.9668130741976683,0.039130902804448676,parkinsons,weighted_knn,9,2
0.9433333333333334,0.057724334257157964,0.963346987540536,0.03721693731596941,parkinsons,weighted_knn,11,2
0.943625730994152,0.04830650065508955,0.9638040282853965,0.03095619564916918,parkinsons,weighted_knn,13,2
0.927514619883041,0.062123246314368344,0.9543312013348164,0.038569772525631735,parkinsons,weighted_knn,15,2
0.8876640419947508,0.020425277121620695,0.901409457742318,0.017804000046497213,rice,weighted_knn,1,2
0.9010498687664044,0.021421246617050603,0.9135014340407572,0.018648737892590653,rice,weighted_knn,3,2
0.9086614173228347,0.0184773920281344,0.9200028043845982,0.016392050682941472,rice,weighted_knn,5,2
0.9149606299212598,0.017338734451352998,0.9257466389275679,0.015239529856387348,rice,weighted_knn,7,2
0.91496062992126,0.017809129085236085,0.9258705454797568,0.015531421205141793,rice,weighted_knn,9,2
0.9162729658792651,0.01872368170814889,0.927078814575286,0.01624003920320743,rice,weighted_knn,11,2
0.9178477690288712,0.017173058060845754,0.9283694296242995,0.014995258740828216,rice,weighted_knn,13,2
0.9194225721784777,0.018072157464674013,0.9297743024656155,0.015762492432751223,rice,weighted_knn,15,2
0.779315268065268,0.05338465364732886,0.7498337972602838,0.0627766137070651,credit_approval,weighted_knn,1,2
0.7976857517482517,0.043417629935437414,0.7690999194507941,0.04799949778445874,credit_approval,weighted_knn,3,2
0.7946561771561772,0.046260273885554364,0.7630648382862708,0.05461614554649699,credit_approval,weighted_knn,5,2
0.8054035547785547,0.04273057997906647,0.7735349606389794,0.05062973787411368,credit_approval,weighted_knn,7,2
0.8052855477855477,0.05452640045648229,0.7687002960276381,0.06719632133359167,credit_approval,weighted_knn,9,2
0.8006694347319347,0.057237758311708485,0.7599788549950056,0.0695030812386796,credit_approval,weighted_knn,11,2
0.8021845862470862,0.05489919828791419,0.7601146103343766,0.06470502896560601,credit_approval,weighted_knn,13,2
0.7959819347319347,0.05684268793807035,0.750209071070981,0.06958882109959044,credit_approval,weighted_knn,15,2
